id;EN;ES;PT;FR;DE;IT;RU
varIsNotText;[Error]  %var% is not text;[Error]  %var% no es texto;[Erro]  %var% não é texto;[Erreur]  %var% n'est pas un texte;[Fehler]  %var% ist kein Text;[Errore]  %var% non è testo;[Ошибка]  %var% не является текстом
executionIsNull;[Error ] %executedCode%.%method% cannot be executed because %executedCode% is null;[Error] %executedCode%.%method% no puede ejecutarse porque %executedCode% es nulo;[Erro ] %executedCode%.%method% não pode ser executado porque %executedCode% é nulo;[Erreur ] %executedCode%.%method% ne peut pas être exécuté parce que %executedCode% est nul;[Fehler] %executedCode%.%method% kann nicht ausgeführt werden, weil %executedCode% null ist;[Errore ] %executedCode%.%method% non può essere eseguito perché %executedCode%  è nullo;[Ошибка] %executedCode%.%method% не может быть выполнен, потому что %executedCode% равно null
methodDoesNotExistFor;[Error] Method %method% does not exist for %executedCode%;[Error] El método %method% no existe para %executedCode%;[Erro] O método %method% não existe para %executedCode%;[Erreur] La méthode %method% n'existe pas pour %executedCode%;[Fehler] Die Methode %method% existiert nicht für %executedCode%;[Errore] Il metodo %method% non esiste per %executedCode%;[Ошибка] Метод %method% не существует для %executedCode%
methodExecutionFailed;[Error] There was a failure in the execution of method %method% in %executedCode%;[Error] Hubo un fallo en la ejecución del método %method% en %executedCode%;[Erro] Houve uma falha na execução do método %method% em %executedCode%;[Erreur] Une erreur s'est produite lors de l'exécution de la méthode %method% dans %executedCode%;[Fehler] Es gab einen Fehler bei der Ausführung der Methode %method% in %executedCode%;[Errore] Si è verificato un errore durante l'esecuzione del metodo %method% in %executedCode%;[Ошибка] Произошла ошибка при выполнении метода %method% в %executedCode%
errorPlaceConditional;[Error] Cannot place conditional without a preceding If;[Error] No es posible colocar conditional sin un If previo;[Erro] Não é possível colocar conditional sem um If anterior;[Erreur] Il n'est pas possible de placer conditional sans un If précédent;[Fehler] Es ist nicht möglich conditional ohne ein vorheriges If zu platzieren;[Errore] Non è possibile inserire conditional senza un If precedente;[Ошибка] Невозможно разместить conditional без предшествующего If
errorEmptyBooleanInIf;[Error] Empty boolean argument in conditional;[Error] Argumento booleano vacío en la condicional;[Erro] Argumento booleano vazio na condicional;[Erreur] Argument booléen vide dans la conditionnelle;[Fehler] Leeres boolesches Argument in der Bedingung;[Errore] Argomento booleano vuoto nella condizione;[Ошибка] Пустой логический аргумент в условной
errorEmptyNumberInDelay;[Error] Empty number argument in Delay;[Error] Argumento numérico vacío en Delay;[Erro] Argumento numérico vazio no Delay;[Erreur] Argument numérique vide dans le Delay;[Fehler] Leeres numerisches Argument in der Delay;[Errore] Argomento numerico vuoto nel Delay;[Ошибка] Пустой числовой аргумент в Delay
errorEmptyNumberInRepeat;[Error] Empty number argument in Repeat;[Error] Argumento numérico vacío en Repeat;[Erro] Argumento numérico vazio em Repeat;[Erreur] Argument numérique vide dans le Repeat;[Fehler] Leeres numerisches Argument in der Repeat;[Errore] Argomento numerico vuoto in Repeat;[Ошибка] Пустой числовой аргумент в Repeat
errorEmptyNumberInRepeatCancel;[Error] Empty number argument in Repeat cancel;[Error] Argumento numérico vacío en Repeat cancel;[Erro] Argumento numérico vazio em Repeat cancel;[Erreur] Argument numérique vide dans Repeat cancel;[Fehler] Leeres numerisches Argument in Repeat cancel;[Errore] Argomento numerico vuoto in Repeat cancel;[Ошибка] Пустой числовой аргумент в Repeat cancel
errorRepeatInRepeat;[Error] Cannot put a Repeat inside of another Repeat;[Error] No se puede colocar un Repeat dentro de otro Repeat;[Erro] Não é possível colocar um Repeat dentro de outro Repeat;[Erreur] Il n'est pas possible de mettre un Repeat à l'intérieur d'un autre Repeat;[Fehler] Kann kein Repeat innerhalb eines anderen Repeat platzieren;[Errore] Non è possibile mettere un Repeat dentro di un altro Repeat;[Ошибка] Невозможно поместить Repeat внутрь другого Repeat
errorCancelWithoutParam;[Error] Cancel without parameter must be inside of a Repeat;[Error] Cancel sin parámetro debe estar dentro de un Repeat;[Erro] Cancel sem parâmetro deve estar dentro de um Repeat;[Erreur] Cancel sans paramètre doit être à l'intérieur d'un Repeat;[Fehler] Cancel ohne Parameter muss innerhalb eines Repeat sein;[Errore] Cancel senza parametro deve essere all'interno di un Repeat;[Ошибка] Cancel без параметра должна быть внутри Repeat
cancelRepeat;Repeat automatically cancelled;Repeat cancelado automáticamente;Repeat cancelado automaticamente;Repeat annulé automatiquement;Repeat automatisch abgebrochen;Repeat annullato automaticamente;Repeat автоматически отменен
isNotIterable;[Error] %var% is not iterable;[Error] %var% no es iterable;[Erro] %var% não é iterável;[Erreur] %var% n'est pas itérable;[Fehler] %var% ist nicht iterierbar;[Errore] %var% non è iterabile;[Ошибка] %var% не является итерируемым
errorForParams;[Error] Loop For must have almost two params;[Error] El Bucle For debe tener al menos dos parámetros;[Erro] O Loop For deve ter pelo menos dois parâmetros;[Erreur] La Boucle For doit avoir au moins deux paramètres;[Fehler] Das For-Schleife muss mindestens zwei Parameter haben;[Errore] Il Loop For deve avere almeno due parametri;[Ошибка] Цикл For должен иметь как минимум два параметра
forExample;It has to be something like var:list or var:0->10;Debe ser algo como var:list o var:0->10;Deve ser algo como var:list ou var:0->10;Il doit être quelque chose comme var:list ou var:0->10;Es muss etwas wie var:list oder var:0->10 sein;Deve essere qualcosa come var:list o var:0->10;Должно быть что-то вроде var:list или var:0->10
existingVarAsForVariable;[Error] You cannot use %var% as a Loop For variable because It is a declarated variable;[Error] No puedes usar %var% como variable de Bucle For porque es una variable declarada;[Erro] Não é possível usar %var% como variável de Loop For porque é uma variável declarada;[Erreur] Vous ne pouvez pas utiliser %var% comme variable de Boucle For parce que c'est une variable déclarée;[Fehler] Du kannst %var% nicht als For-Schleifenvariable verwenden, weil es eine deklarierte Variable ist;[Errore] Non puoi usare %var% come variabile di Loop For perché è una variabile dichiarata;[Ошибка] Вы не можете использовать %var% в качестве переменной цикла For, потому что это объявленная переменная
errorForSyntax;[Error] Bad syntax in For range in %range%;[Error] Sintaxis incorrecta en el rango del bucle For en %range%;[Erro] Sintaxe incorreta no intervalo do Loop For em %range%;[Erreur] Incorrecte syntaxe dans la plage de la Boucle For dans %range%;[Fehler] Ungültige Syntax im For-Bereich in %range%;[Errore] Sintassi errata nell'intervallo del Loop For in %range%;[Ошибка] Неверный синтаксис в диапазоне цикла For в %range%
rangeDeclared;You have to declare a range using -> or <-, like in 0->10;Debes declarar un rango usando -> o <-, como en 0->10;Você precisa declarar um intervalo usando -> ou <-, como em 0->10;Vous devez déclarer une plage en utilisant -> ou <-, comme dans 0->10;Sie müssen einen Bereich mit -> oder <- deklarieren, wie z.B. 0->10;Devi dichiarare un intervallo usando -> o <-, come in 0->10;Вы должны объявить диапазон, используя -> или <-, как в 0->10
errorEvent;Error occurred while executing event %event%;Se produjo un error al ejecutar el evento %event%;Ocorreu um erro ao executar o evento %event%;Une erreur s'est produite lors de l'exécution de l'événement %event%;Ein Fehler ist aufgetreten beim Ausführen des Ereignisses %event%;Si è verificato un errore durante l'esecuzione dell'evento %event%;Произошла ошибка при выполнении события %event%
errorFunctionParams;[Error] Wrong num of params in function %function%, expected paramsNumber;[Error] Número incorrecto de parámetros en la función %function%,  se esperaban %params%;[Erro] Número incorreto de parâmetros na função %function%, esperado %params%;[Erreur] Nombre incorrect de paramètres dans la fonction %function%, attendu %params%;[Fehler] Falsche Anzahl von Parametern in der Funktion %function%, erwartet %params%;[Errore] Numero errato di parametri nella funzione %function%, previsti %params%;[Ошибка] Неверное количество параметров в функции %function%, ожидалось %params%
errorEmptyValue;[Error] Cannot set an empty value to property %property% ;[Error] No se puede asignar un valor vacío a la propiedad %property%;[Erro] Não é possível definir um valor vazio para a propriedade %property%;[Erreur] Impossible de définir une valeur vide pour la propriété %property%;[Fehler] Kann keinen leeren Wert für die Eigenschaft %property% setzen;[Errore] Impossibile impostare un valore vuoto per la proprietà %property%;[Ошибка] Невозможно установить пустое значение для свойства %property%
errorPluginName;[Error] There is an existing plugin named %plugin%;[Error] Ya existe un plugin llamado %plugin%;[Erro] Já existe um plugin chamado %plugin%;[Erreur] Il déjà existe un plugin nommé %plugin%;[Fehler] Es gibt bereits ein Plugin mit dem Namen %plugin%;[Errore] Esiste già un plugin chiamato %plugin%;[Ошибка] Существует существующий плагин с именем %plugin%
notNumberInstruction;[Error] This instruction is not a number;[Error] Esta instrucción no es un número;[Erro] Esta instrução não é um número;[Erreur] Cette instruction n'est pas un nombre;[Fehler] Diese Anweisung ist keine Zahl;[Errore] Questa istruzione non è un numero;[Ошибка] Эта инструкция не является числом
notConditionalInstruction;[Error] This instruction is not conditional;[Error] Esta instrucción no es condicional;[Erro] Esta instrução não é condicional;[Erreur] Cette instruction n'est pas conditionnelle;[Fehler] Diese Anweisung ist nicht bedingt;[Errore] Questa istruzione non è condizionale;[Ошибка] Эта инструкция не является условной
consecutiveMathSymbols;[Error] You cannot place two mathematical symbols consecutively;[Error] No puedes poner dos símbolos matemáticos seguidos;[Erro] Não é possível colocar dois símbolos matemáticos consecutivos;[Erreur] Vous ne pouvez pas placer deux symboles mathématiques consécutifs;[Fehler] Sie können keine zwei mathematischen Symbole hintereinander platzieren;[Errore] Non puoi inserire due simboli matematici consecutivi;[Ошибка] Вы не можете поместить два математических символа подряд
notExecutableSequence;[Error] This instruction is not a executable sequence; [Error] Esta instrucción no es una secuencia ejecutable;[Erro] Esta instrução não é uma sequência executável;[Erreur] Cette instruction n'est pas une séquence exécutable;[Fehler] Diese Anweisung ist keine ausführbare Sequenz;[Errore] Questa istruzione non è una sequenza eseguibile;[Ошибка] Это инструкция не является исполняемой последовательностью
menuSameTime;[Error] Two players cannot use the PluginCoder's menu at the same time;[Error] Dos jugadores no pueden usar el menú de PluginCoder al mismo tiempo;[Erro] Dois jogadores não podem usar o menu do PluginCoder ao mesmo tempo;[Erreur] Deux joueurs ne peuvent pas utiliser le menu du PluginCoder en même temps;[Fehler] Zwei Spieler können das PluginCoder-Menü nicht gleichzeitig verwenden;[Errore] Due giocatori non possono utilizzare il menu di PluginCoder contemporaneamente;[Ошибка] Два игрока не могут одновременно использовать меню PluginCoder
notNumberSequence;[Error] Executable sequence is not a number;[Error] La secuencia ejecutable no es un número;[Erro] A sequência executável não é um número;[Erreur] La séquence exécutable n'est pas un nombre;[Fehler] Die ausführbare Sequenz ist keine Zahl;[Errore] La sequenza eseguibile non è un numero;[Ошибка] Выполняемая последовательность не является числом
differentParentesisOpenClose;[Error] There are a different number of open parentheses than close parentheses;[Error] Hay un número diferente de paréntesis de apertura que de paréntesis de cierre;[Erro] Há um número diferente de parênteses de abertura do que de parênteses de fechamento;[Erreur] Il y a un nombre différent de parenthèses ouvrantes que de parenthèses fermantes;[Fehler] Es gibt eine unterschiedliche Anzahl von öffnenden Klammern als schließenden Klammern;[Errore] Ci sono un numero diverso di parentesi aperte rispetto a parentesi chiuse;[Ошибка] Количество открывающих скобок отличается от количества закрывающих скобок
consecutiveLogicSymbols;[Error] You cannot place two logic symbols consecutively;[Error] No puedes poner dos símbolos lógicos seguidos;[Erro] Não é possível colocar dois símbolos lógicos consecutivos;[Erreur] Vous ne pouvez pas placer deux symboles logiques consécutivement;[Fehler] Sie können keine zwei logischen Symbole hintereinander setzen;[Errore] Non è possibile posizionare due simboli logici consecutivamente;[Ошибка] Невозможно разместить два логических символа подряд
notConditionalSequence;[Error] Executable sequence is not conditional;[Error] La secuencia ejecutable no es condicional;[Erro] A sequência executável não é condicional;[Erreur] La séquence exécutable n'est pas conditionnelle;[Fehler] Die ausführbare Sequenz ist nicht bedingt;[Errore] La sequenza eseguibile non è condizionale;[Ошибка] Выполняемая последовательность не является условной
errorPropertyName;[Error] There is an existing property named %property%;[Error] Ya existe una propiedad llamada %property%;[Erro] Já existe uma propriedade chamada %property%;[Erreur] Il existe déjà une propriété nommée %property%;[Fehler] Es gibt bereits eine Eigenschaft mit dem Namen %property%;[Errore] Esiste già una proprietà chiamata %property%;[Ошибка] Свойство с именем propertyName уже %property%
errorPlayerNotFound;[Error] Player %player% not found;[Error] Jugador %player% no encontrado;[Erro] Jogador %player% não encontrado;[Erreur] Joueur %player% introuvable;[Fehler] Spieler %player% nicht gefunden;[Errore] Giocatore %player% non trovato;[Ошибка] Игрок %player% не найден
pluginNameReserved;"[Error] ""Plugin"" name is reserved to the plugin's main object";"[Error] El nombre ""Plugin"" está reservado para el objeto principal del plugin";"[Erro] O nome ""Plugin"" está reservado para o objeto principal do plugin";"[Erreur] Le nom ""Plugin"" est réservé à l'objet principal du plugin";"[Fehler] Der Name ""Plugin"" ist dem Hauptobjekt des Plugins vorbehalten";"[Errore] Il nome ""Plugin"" è riservato all'oggetto principale del plugin";"[Ошибка] Имя ""Plugin"" зарезервировано для основного объекта плагина"
existingObject;[Error] There is an existing object with this name;[Error] Ya existe un objeto con este nombre;[Erro] Existe um objeto com este nome;[Erreur] Il existe déjà un objet avec ce nom;[Fehler] Es existiert bereits ein Objekt mit diesem Namen;[Errore] Esiste già un oggetto con questo nome;[Ошибка] Объект с таким именем уже существует
existingProperty;[Error] There is an existing property with this name;[Error] Ya existe una propiedad con este nombre;[Erro] Existe uma propriedade com este nome;[Erreur] Il existe déjà une propriété avec ce nom;[Fehler] Es existiert bereits eine Eigenschaft mit diesem Namen;[Errore] Esiste già una proprietà con questo nome;[Ошибка] Свойство с таким именем уже существует
invalidProperty;[Error] Invalid property name;[Error] Nombre de propiedad no válido;[Erro] Nome de propriedade inválido;[Erreur] Nom de propriété invalide;[Fehler] Ungültiger Eigenschaftsname;[Errore] Nome della proprietà non valido;[Ошибка] Недопустимое имя свойства
existingParam;[Error] There is an existing parameter with this name;[Error] Ya existe un parámetro con este nombre;[Erro] Já existe um parâmetro com este nome;[Erreur] Un paramètre portant ce nom existe déjà;[Fehler] Es gibt bereits einen Parameter mit diesem Namen;[Errore] Esiste già un parametro con questo nome;[Ошибка] Параметр с таким именем уже существует
exportingError;[Error] An error occurred while exporting the plugin %plugin%;[Error] Se produjo un error al exportar el plugin %plugin%;[Erro] Ocorreu um erro ao exportar o plugin %plugin%;[Erreur] Une erreur s'est produite lors de l'exportation du plugin %plugin%;[Fehler] Beim Exportieren des Plugins %plugin% ist ein Fehler aufgetreten;[Errore] Si è verificato un errore durante l'esportazione del plugin %plugin%;[Ошибка] Произошла ошибка при экспорте плагина %plugin%
